Year,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,TotalPreHarvestPop,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,AdultMaleHarvest,YearlingMaleHarvest,FawnMaleHarvest,AdultFemaleHarvest,YearlingFemaleHarvest,FawnFemaleHarvest,AdultMaleTested,YearlingMaleTested,FawnMaleTested,AdultFemaleTested,YearlingFemaleTested,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,CWDArea,MaxDistSpark,cum-trans,iteration,TotalTargetedCull,TCCWD+
6,1652,1101,1634,2451,1249,1578,9665,4,0,2,9,1,1,17,662,308,81,472,187,39,73,66,2,47,34,2,5,1,1,0.004,9,16.6,43,53,0,0
7,1597,1187,1561,2465,1250,1558,9618,9,4,2,18,4,5,42,593,289,79,503,200,33,56,66,6,51,37,2,6,2,1,0.009,22,17.1,80,53,0,0
8,1716,1141,1581,2488,1228,1569,9723,25,3,7,32,12,13,92,684,276,74,514,174,35,63,45,5,53,36,2,22,3,1,0.015,31,18.1,173,53,0,0
9,1687,1145,1622,2454,1241,1530,9679,32,15,14,57,9,17,144,653,262,84,494,175,25,73,47,5,48,34,2,39,8,1,0.038,43,20,314,53,0,0
10,1697,1167,1575,2472,1220,1636,9767,59,13,16,51,22,31,192,697,285,101,453,158,32,70,58,4,40,37,2,43,2,1,0.009,64,20.6,509,53,0,0
11,1661,1091,1643,2483,1309,1599,9786,68,18,21,85,28,33,253,650,252,65,466,192,24,66,45,3,45,30,1,55,6,1,0.032,67,21.6,740,53,0,0
12,1651,1163,1704,2474,1277,1613,9882,94,27,33,100,37,55,346,682,278,96,503,207,36,70,58,4,57,42,3,73,12,1,0.051,83,21.8,1085,53,0,0
13,1637,1207,1561,2414,1232,1578,9629,157,37,38,136,52,63,483,689,297,81,484,194,33,70,61,7,50,36,0,113,17,1,0.076,132,22.1,1558,53,0,0
14,1623,1089,1587,2379,1253,1528,9459,226,41,67,207,78,69,688,621,285,85,488,196,29,57,46,6,61,47,0,142,18,1,0.083,168,22.1,2191,53,0,0
15,1544,1118,1462,2302,1227,1511,9164,304,73,85,304,118,113,997,615,267,89,423,179,29,72,50,6,44,32,1,213,26,1,0.127,208,22.6,3116,53,0,0
1,1649,1143,1585,2400,1221,1549,9547,0,0,0,1,0,0,1,631,290,69,460,173,39,62,74,1,42,35,1,0,0,0,0,1,0,2,54,0,0
2,1664,1101,1606,2459,1226,1523,9579,0,0,0,1,0,0,1,686,280,77,484,166,28,66,61,7,45,32,1,0,0,0,0,1,2.2,2,54,0,0
3,1609,1189,1666,2442,1216,1493,9615,0,0,0,1,0,0,1,718,299,80,494,175,21,74,65,9,43,32,0,0,0,0,0,1,2.2,4,54,0,0
4,1593,1179,1593,2474,1218,1541,9598,2,1,3,4,2,2,14,624,292,80,499,189,31,57,58,5,50,36,1,2,0,0,0,5,3,20,54,0,0
5,1645,1158,1636,2431,1222,1589,9681,1,0,3,7,2,3,16,692,298,74,490,197,30,68,61,3,50,44,2,3,1,1,0.004,4,9.8,34,54,0,0
6,1613,1196,1606,2421,1274,1514,9624,2,0,3,7,1,1,14,654,267,74,471,203,27,65,56,7,52,48,3,7,1,1,0.004,4,9.8,48,54,0,0
7,1666,1153,1655,2451,1210,1623,9758,0,0,1,6,1,4,12,657,287,84,526,195,28,65,56,9,51,37,1,0,0,1,0,5,9.8,61,54,0,0
8,1664,1181,1559,2389,1301,1531,9625,2,4,2,11,6,4,29,665,304,94,489,209,34,67,54,2,53,37,2,5,0,1,0,9,10.8,84,54,0,0
9,1685,1116,1565,2426,1241,1555,9588,18,1,2,18,8,9,56,701,300,76,496,173,30,76,62,4,49,38,2,9,1,1,0.004,21,15.5,144,54,0,0
10,1568,1129,1662,2440,1215,1509,9523,26,6,10,28,6,12,88,631,274,78,506,203,33,72,54,7,46,40,5,19,2,1,0.009,31,16.8,228,54,0,0
11,1573,1205,1588,2403,1180,1551,9500,50,6,13,47,12,17,145,609,296,76,471,183,31,59,61,5,47,22,1,32,1,1,0.005,51,17.7,360,54,0,0
12,1645,1162,1493,2340,1225,1542,9407,67,20,12,63,23,24,209,668,285,82,456,171,30,78,66,5,41,31,3,44,5,1,0.022,82,18,567,54,0,0
13,1642,1083,1576,2378,1216,1569,9464,111,28,26,82,37,38,322,672,273,80,477,181,28,61,69,1,59,45,1,66,10,1,0.042,112,22.8,881,54,0,0
14,1562,1136,1601,2386,1231,1534,9450,177,30,41,124,49,58,479,630,287,67,487,175,30,72,64,4,61,32,0,110,12,1,0.052,136,24.4,1314,54,0,0
15,1560,1162,1614,2376,1205,1492,9409,255,48,49,191,75,62,680,624,326,82,486,183,36,65,82,10,45,31,3,185,22,1,0.093,165,24.4,1953,54,0,0
1,1642,1130,1549,2372,1189,1547,9429,0,1,0,0,0,0,1,680,287,66,443,186,22,61,49,5,48,44,1,0,0,0,0,1,0,0,55,0,0
2,1575,1079,1573,2384,1249,1504,9364,3,0,0,0,0,0,3,614,278,85,466,190,40,48,62,4,45,44,1,0,0,0,0,2,2.2,3,55,0,0
3,1564,1111,1608,2441,1198,1524,9446,10,0,0,2,1,0,13,637,265,72,491,153,35,57,48,3,55,27,3,5,1,1,0.005,6,3.6,14,55,0,0
4,1577,1135,1641,2432,1215,1596,9596,6,0,0,1,0,1,8,620,278,76,505,166,33,63,64,3,42,42,2,2,0,1,0,4,3.6,16,55,0,0
5,1608,1157,1557,2457,1292,1597,9668,10,1,0,3,2,2,18,624,280,81,506,183,39,60,61,6,59,34,2,6,1,1,0.005,10,3.6,34,55,0,0
6,1633,1087,1624,2480,1278,1566,9668,15,0,3,7,5,2,32,658,264,93,493,196,32,50,51,5,51,32,1,9,1,1,0.005,11,12.2,59,55,0,0
7,1583,1150,1665,2474,1256,1593,9721,12,1,3,24,2,9,51,632,289,77,506,195,33,62,62,4,51,39,2,10,1,1,0.005,14,12.2,105,55,0,0
8,1588,1189,1653,2502,1256,1642,9830,19,5,8,25,6,18,81,656,302,92,501,204,36,64,55,6,47,36,1,19,1,1,0.005,13,12.2,193,55,0,0
9,1596,1186,1649,2454,1287,1547,9719,23,10,13,33,13,13,105,633,304,72,485,187,18,60,69,4,52,46,0,23,2,1,0.009,25,17.9,289,55,0,0
10,1633,1179,1640,2496,1240,1548,9736,47,11,12,48,15,14,147,675,288,92,486,192,24,65,57,1,50,45,2,46,3,1,0.014,38,19.2,431,55,0,0
11,1641,1141,1686,2443,1263,1498,9672,88,10,8,42,18,28,194,656,269,77,471,212,20,56,60,3,38,45,1,56,8,1,0.039,53,19.2,608,55,0,0
12,1642,1217,1658,2425,1196,1534,9672,93,12,15,64,22,35,241,675,295,94,503,182,22,72,68,4,51,38,2,70,9,1,0.038,53,19.7,820,55,0,0
13,1636,1180,1547,2337,1204,1527,9431,75,27,24,75,24,29,254,654,307,83,442,191,21,56,56,6,53,33,0,41,5,1,0.025,64,20.8,1054,55,0,0
14,1615,1108,1541,2327,1207,1508,9306,107,21,34,113,38,33,346,645,303,72,449,167,27,67,64,1,39,36,0,70,6,1,0.029,79,20.8,1380,55,0,0
15,1548,1124,1580,2339,1206,1503,9300,124,27,58,137,38,65,449,666,262,79,453,162,29,65,51,5,43,32,1,111,10,1,0.051,97,20.8,1800,55,0,0
1,1654,1164,1546,2331,1208,1488,9391,0,1,0,0,0,0,1,674,266,75,433,187,30,63,58,0,45,37,1,0,0,0,0,1,0,0,56,0,0
2,1667,1105,1606,2364,1188,1449,9379,2,0,0,0,0,0,2,702,256,72,474,176,27,76,51,7,35,43,1,0,0,0,0,1,2,2,56,0,0
3,1606,1172,1585,2352,1174,1456,9345,6,0,0,1,0,0,7,657,299,69,484,189,30,61,65,6,49,40,1,4,1,1,0.005,3,2,8,56,0,0
4,1615,1151,1550,2289,1148,1432,9185,6,0,1,1,1,0,9,645,290,79,477,163,22,66,65,5,55,30,1,3,0,1,0,3,2.8,14,56,0,0
5,1650,1096,1477,2246,1162,1456,9087,5,2,2,3,1,0,13,670,283,79,443,165,31,56,59,1,44,34,0,3,0,1,0,3,2.8,23,56,0,0
6,1592,1057,1536,2283,1145,1381,8994,3,2,3,8,0,1,17,642,291,86,465,144,22,67,61,6,50,25,0,1,0,1,0,8,14,44,56,0,0
7,1535,1095,1531,2327,1113,1441,9042,14,3,2,16,5,6,46,587,259,75,462,164,22,42,63,2,40,32,2,13,1,1,0.006,11,15.1,90,56,0,0
8,1586,1121,1538,2270,1154,1552,9221,21,5,7,20,8,17,78,632,290,83,423,180,24,63,57,10,47,47,0,16,0,1,0,23,17.1,158,56,0,0
9,1603,1101,1514,2288,1243,1524,9273,35,4,6,32,8,9,94,623,295,67,457,202,26,67,55,2,45,54,2,24,3,1,0.013,32,17.1,251,56,0,0
10,1584,1088,1603,2337,1233,1487,9332,35,8,20,56,22,15,156,661,267,82,429,201,23,78,56,3,40,47,2,38,3,1,0.013,43,17.5,403,56,0,0
11,1538,1153,1527,2378,1196,1513,9305,39,19,31,73,24,30,216,617,298,74,464,180,33,75,58,3,33,39,0,53,3,1,0.014,55,19.3,623,56,0,0
12,1583,1105,1607,2392,1191,1546,9424,82,21,25,92,31,31,282,643,276,77,477,173,34,49,65,4,51,40,0,62,3,1,0.014,85,19.3,893,56,0,0
13,1554,1163,1624,2382,1207,1479,9409,133,18,45,132,39,40,407,653,289,91,467,164,32,64,68,3,44,26,1,87,12,1,0.058,107,21,1261,56,0,0
14,1547,1141,1580,2362,1160,1488,9278,186,55,41,171,53,58,564,642,290,74,465,170,30,59,49,5,56,39,0,127,16,1,0.077,145,21,1799,56,0,0
15,1521,1122,1472,2290,1178,1456,9039,259,54,84,220,79,101,797,611,283,69,439,175,27,65,55,3,55,30,5,171,21,1,0.099,194,21,2545,56,0,0
1,1654,1125,1637,2340,1218,1514,9488,0,0,2,1,0,0,3,674,291,87,469,172,47,56,51,1,47,36,2,0,0,0,0,1,0,3,57,0,0
2,1617,1193,1553,2386,1202,1550,9501,0,1,1,2,2,0,6,648,306,64,493,186,32,58,56,4,51,26,2,1,0,0,0,2,1,8,57,0,0
3,1629,1099,1535,2355,1222,1408,9248,0,1,0,3,1,0,5,643,271,74,501,162,29,57,48,2,33,26,1,0,0,0,0,4,13.4,19,57,0,0
4,1618,1113,1643,2363,1153,1478,9368,3,1,2,8,0,1,15,652,292,70,461,172,24,59,46,3,46,43,3,3,0,0,0,7,15.3,36,57,0,0
5,1613,1183,1606,2364,1164,1491,9421,12,1,2,5,6,2,28,669,285,78,493,173,31,64,62,1,53,35,1,3,1,1,0.005,13,18.4,63,57,0,0
6,1624,1162,1576,2347,1194,1398,9301,21,2,7,7,5,4,46,623,302,72,424,161,36,45,56,5,37,31,2,12,0,1,0,12,18.4,103,57,0,0
7,1633,1139,1582,2425,1128,1535,9442,20,0,3,15,3,3,44,664,285,55,478,159,29,62,53,4,48,34,4,9,0,1,0,19,18.4,142,57,0,0
8,1626,1156,1589,2391,1251,1546,9559,15,2,7,23,7,6,60,641,289,82,495,175,40,62,47,7,47,42,1,10,2,1,0.01,24,19.8,204,57,0,0
9,1666,1110,1570,2435,1239,1560,9580,27,9,12,46,8,21,123,662,277,70,455,171,39,61,71,4,53,35,1,24,4,1,0.018,36,20.5,315,57,0,0
10,1640,1135,1603,2435,1245,1557,9615,38,7,25,60,21,25,176,661,280,81,485,166,16,64,54,4,48,46,1,39,2,1,0.009,53,20.5,496,57,0,0
11,1612,1147,1576,2421,1241,1535,9532,57,19,27,78,33,21,235,633,281,88,484,198,33,58,52,6,49,47,5,46,7,1,0.032,92,20.5,730,57,0,0
12,1633,1112,1615,2383,1195,1525,9463,107,24,52,140,36,44,403,626,281,69,490,173,29,69,47,4,50,44,3,91,8,1,0.037,115,20.5,1119,57,0,0
13,1585,1169,1501,2338,1200,1538,9331,177,60,55,201,53,78,624,636,291,85,472,195,39,60,55,6,39,40,2,125,17,1,0.084,177,20.5,1709,57,0,0
14,1599,1044,1591,2250,1188,1405,9077,279,61,66,273,95,100,874,651,258,78,460,165,26,60,49,2,57,44,0,199,19,1,0.09,224,23,2504,57,0,0
15,1483,1121,1505,2212,1062,1351,8734,314,85,109,387,115,132,1142,613,276,69,426,141,26,61,59,2,42,22,3,257,29,1,0.153,261,23,3624,57,0,0
1,1645,1142,1575,2360,1191,1526,9439,0,0,3,2,0,0,5,680,287,59,468,176,23,73,64,4,36,40,1,0,0,0,0,2,0,4,58,0,0
2,1615,1133,1532,2368,1223,1586,9457,0,1,2,3,0,2,8,595,259,73,478,199,29,68,55,5,43,44,3,0,0,0,0,4,12,9,58,0,0
3,1698,1128,1653,2361,1254,1467,9561,2,0,2,5,0,2,11,688,278,87,453,203,25,63,61,2,46,36,2,2,0,0,0,2,12,26,58,0,0
4,1667,1182,1581,2383,1177,1570,9560,4,2,4,7,3,5,25,695,313,71,463,168,23,70,52,2,49,29,0,8,2,1,0.01,6,12,53,58,0,0
5,1638,1137,1637,2413,1263,1540,9628,5,0,1,4,2,0,12,641,290,82,473,198,24,68,56,4,57,42,1,4,1,1,0.004,5,12,62,58,0,0
6,1673,1188,1665,2472,1235,1559,9792,4,1,1,8,5,1,20,643,296,88,493,188,27,69,61,4,55,33,2,2,0,1,0,10,12,83,58,0,0
7,1713,1209,1652,2466,1245,1558,9843,11,5,5,15,1,7,44,711,291,81,485,183,31,63,50,3,35,36,1,12,2,1,0.011,18,13.5,130,58,0,0
8,1703,1192,1588,2513,1235,1583,9814,21,0,5,12,7,3,48,667,301,73,492,199,32,66,62,3,55,43,2,18,4,1,0.017,21,15.6,169,58,0,0
9,1744,1127,1661,2466,1276,1604,9878,23,6,7,19,7,4,66,689,292,94,496,213,30,92,63,5,54,48,2,15,2,1,0.008,27,15.6,251,58,0,0
10,1678,1177,1610,2460,1304,1600,9829,33,4,7,32,13,12,101,663,285,90,477,196,27,73,54,4,48,40,2,27,3,1,0.014,38,18,340,58,0,0
11,1692,1167,1668,2512,1269,1689,9997,31,11,16,52,18,15,143,669,290,85,527,205,36,71,46,0,60,39,2,35,6,1,0.028,46,19,484,58,0,0
12,1677,1198,1629,2478,1360,1577,9919,58,17,24,82,30,25,236,678,294,70,491,211,44,66,62,6,39,43,2,54,3,1,0.014,90,19.3,722,58,0,0
13,1691,1187,1692,2530,1227,1565,9892,109,20,30,125,29,32,345,659,317,98,494,216,37,61,71,5,55,53,5,82,8,1,0.032,115,20,1038,58,0,0
14,1681,1204,1604,2465,1268,1599,9821,157,38,49,169,39,74,526,661,291,98,497,201,42,72,61,5,36,44,0,116,13,1,0.06,168,21.4,1553,58,0,0
15,1713,1163,1612,2404,1229,1604,9725,243,56,63,224,82,85,753,660,305,62,465,208,28,59,60,3,60,48,1,162,30,1,0.13,202,21.4,2262,58,0,0
1,1643,1120,1591,2357,1183,1540,9434,0,0,0,0,0,0,0,671,260,63,458,181,25,75,55,4,39,32,1,0,0,0,0,0,0,0,59,0,0
2,1640,1133,1562,2318,1240,1485,9378,0,0,0,0,0,0,0,661,299,91,451,151,34,76,63,4,62,28,2,0,0,0,0,0,1,0,59,0,0
3,1618,1083,1564,2401,1182,1566,9414,0,0,0,0,0,0,0,678,271,72,448,181,37,67,62,8,54,39,3,0,0,0,0,0,1,0,59,0,0
4,1559,1122,1563,2434,1250,1492,9420,0,0,0,0,0,0,0,622,258,87,484,209,31,55,64,4,52,52,2,0,0,0,0,0,1,0,59,0,0
5,1619,1153,1661,2424,1209,1545,9611,0,0,0,0,0,0,0,688,298,92,506,187,29,56,56,4,61,37,1,0,0,0,0,0,1,0,59,0,0
6,1564,1217,1632,2436,1228,1532,9609,0,0,0,0,0,0,0,632,306,82,511,176,32,77,56,2,48,32,2,0,0,0,0,0,1,0,59,0,0
7,1630,1137,1617,2437,1237,1537,9595,0,0,0,0,0,0,0,644,287,72,503,178,30,55,63,2,48,32,1,0,0,0,0,0,1,0,59,0,0
8,1621,1165,1635,2432,1233,1535,9621,0,0,0,0,0,0,0,649,274,87,465,201,27,68,54,4,41,41,1,0,0,0,0,0,1,0,59,0,0
9,1650,1204,1665,2450,1226,1516,9711,0,0,0,0,0,0,0,650,281,102,521,186,29,65,61,6,66,39,2,0,0,0,0,0,1,0,59,0,0
10,1699,1162,1636,2403,1206,1566,9672,0,0,0,0,0,0,0,714,285,83,479,195,30,82,57,1,47,41,0,0,0,0,0,0,1,0,59,0,0
11,1662,1226,1560,2380,1236,1518,9582,0,0,0,0,0,0,0,685,336,70,474,194,22,59,66,5,54,39,2,0,0,0,0,0,1,0,59,0,0
12,1664,1128,1564,2389,1222,1525,9492,0,0,0,0,0,0,0,676,282,80,492,180,24,64,57,5,42,37,0,0,0,0,0,0,1,0,59,0,0
13,1639,1096,1603,2432,1208,1536,9514,0,0,0,0,0,0,0,672,251,85,519,168,31,64,51,4,53,36,0,0,0,0,0,0,1,0,59,0,0
14,1604,1127,1537,2392,1234,1549,9443,0,0,0,0,0,0,0,670,262,63,472,198,43,50,57,5,51,49,3,0,0,0,0,0,1,0,59,0,0
15,1622,1137,1611,2407,1217,1542,9536,0,0,0,0,0,0,0,633,278,86,502,185,24,60,59,5,55,36,2,0,0,0,0,0,1,0,59,0,0
1,1665,1152,1583,2389,1185,1580,9554,0,0,1,0,0,0,1,646,296,76,452,203,34,71,56,3,37,50,0,0,0,0,0,0,0,0,60,0,0
2,1669,1129,1604,2412,1248,1542,9604,0,0,0,0,0,0,0,651,280,95,504,180,27,64,61,5,43,35,0,0,0,0,0,0,0,1,60,0,0
3,1678,1139,1610,2416,1239,1544,9626,0,0,0,0,0,0,0,650,283,70,462,191,34,72,56,9,32,39,0,0,0,0,0,0,0,1,60,0,0
4,1693,1174,1668,2466,1225,1548,9774,0,0,0,0,0,0,0,670,292,85,512,193,31,59,65,2,48,40,0,0,0,0,0,0,0,1,60,0,0
5,1702,1194,1642,2458,1244,1608,9848,0,0,0,0,0,0,0,664,279,82,505,193,26,51,61,2,39,36,1,0,0,0,0,0,0,1,60,0,0
6,1743,1180,1635,2431,1289,1545,9823,0,0,0,0,0,0,0,706,296,83,474,196,22,68,77,1,50,37,0,0,0,0,0,0,0,1,60,0,0
7,1704,1195,1684,2523,1262,1627,9995,0,0,0,0,0,0,0,676,304,91,490,193,29,70,67,5,49,39,1,0,0,0,0,0,0,1,60,0,0
8,1705,1187,1629,2504,1297,1683,10005,0,0,0,0,0,0,0,696,302,90,524,208,32,62,60,2,43,42,1,0,0,0,0,0,0,1,60,0,0
9,1677,1171,1708,2536,1345,1641,10078,0,0,0,0,0,0,0,684,289,75,495,224,32,63,63,2,45,44,3,0,0,0,0,0,0,1,60,0,0
10,1665,1240,1741,2597,1302,1674,10219,0,0,0,0,0,0,0,674,306,75,531,215,30,60,47,0,49,55,2,0,0,0,0,0,0,1,60,0,0
11,1722,1263,1694,2495,1351,1657,10182,0,0,0,0,0,0,0,665,319,75,466,187,36,65,73,3,46,35,0,0,0,0,0,0,0,1,60,0,0
12,1787,1230,1751,2553,1315,1680,10316,0,0,0,0,0,0,0,703,289,97,493,192,34,60,54,4,45,30,2,0,0,0,0,0,0,1,60,0,0
13,1823,1249,1749,2573,1352,1663,10409,0,0,0,0,0,0,0,759,315,85,518,220,20,76,60,2,53,51,0,0,0,0,0,0,0,1,60,0,0
14,1768,1251,1716,2614,1338,1664,10351,0,0,0,0,0,0,0,724,299,96,542,209,36,74,45,3,57,52,5,0,0,0,0,0,0,1,60,0,0
15,1799,1240,1723,2615,1342,1627,10346,0,0,0,0,0,0,0,747,305,84,519,199,25,67,61,1,50,33,3,0,0,0,0,0,0,1,60,0,0
1,1651,1131,1580,2351,1225,1515,9453,0,1,0,0,0,0,1,649,304,85,523,179,39,67,60,5,53,40,1,1,0,0,0,0,0,0,61,0,0
2,1619,1101,1615,2380,1168,1425,9308,0,0,0,0,0,0,0,651,264,95,522,184,40,57,47,4,47,31,2,0,0,0,0,0,4.1,0,61,0,0
3,1616,1129,1616,2300,1145,1426,9232,0,0,0,0,0,0,0,675,279,89,467,158,28,65,62,2,50,24,1,0,0,0,0,0,4.1,0,61,0,0
4,1609,1180,1508,2304,1145,1497,9243,0,0,0,0,0,0,0,667,281,72,428,189,24,59,47,6,38,31,0,0,0,0,0,0,4.1,0,61,0,0
5,1655,1075,1521,2296,1178,1451,9176,0,0,0,0,0,0,0,639,257,83,487,169,36,53,61,0,53,37,1,0,0,0,0,0,4.1,0,61,0,0
6,1632,1066,1507,2280,1167,1489,9141,0,0,0,0,0,0,0,643,245,76,478,191,21,80,63,1,40,36,0,0,0,0,0,0,4.1,0,61,0,0
7,1624,1088,1519,2321,1183,1470,9205,0,0,0,0,0,0,0,642,267,69,436,148,21,69,48,2,43,26,1,0,0,0,0,0,4.1,0,61,0,0
8,1616,1052,1568,2378,1173,1505,9292,0,0,0,0,0,0,0,654,260,76,476,173,29,62,55,3,46,28,2,0,0,0,0,0,4.1,0,61,0,0
9,1563,1146,1560,2354,1181,1507,9311,0,0,0,0,0,0,0,596,277,86,456,180,27,52,48,6,59,37,1,0,0,0,0,0,4.1,0,61,0,0
10,1640,1139,1549,2395,1205,1550,9478,0,0,0,0,0,0,0,649,284,68,476,203,28,75,62,3,48,42,2,0,0,0,0,0,4.1,0,61,0,0
11,1646,1118,1534,2376,1244,1503,9421,0,0,0,0,0,0,0,641,289,85,434,183,29,78,59,5,33,46,2,0,0,0,0,0,4.1,0,61,0,0
12,1668,1104,1618,2434,1211,1580,9615,0,0,0,0,0,0,0,658,251,80,458,160,30,55,46,1,47,30,1,0,0,0,0,0,4.1,0,61,0,0
13,1660,1140,1602,2444,1266,1588,9700,0,0,0,0,0,0,0,667,262,82,517,202,31,69,60,4,48,36,1,0,0,0,0,0,4.1,0,61,0,0
14,1662,1153,1662,2415,1276,1474,9642,0,0,0,0,0,0,0,693,304,73,490,199,29,53,63,3,54,47,1,0,0,0,0,0,4.1,0,61,0,0
15,1612,1222,1597,2463,1189,1609,9692,0,0,0,0,0,0,0,644,304,68,518,183,45,69,63,3,43,40,5,0,0,0,0,0,4.1,0,61,0,0
1,1651,1133,1551,2337,1213,1509,9394,0,1,0,0,0,0,1,644,279,68,468,175,35,54,57,3,45,29,1,1,1,1,0.005,0,0,0,62,0,0
2,1639,1137,1533,2386,1201,1501,9397,0,0,0,0,0,0,0,661,282,56,499,190,30,55,45,1,41,42,3,0,0,1,0,0,0,0,62,0,0
3,1660,1115,1597,2365,1218,1533,9488,0,0,0,0,0,0,0,672,278,79,471,176,32,90,69,3,37,35,1,0,0,1,0,0,0,0,62,0,0
4,1613,1143,1605,2388,1228,1561,9538,0,0,0,0,0,0,0,661,306,98,471,193,26,79,82,3,57,43,1,0,0,1,0,0,0,0,62,0,0
5,1593,1150,1638,2383,1271,1490,9525,0,0,0,0,0,0,0,624,292,76,465,208,35,65,81,6,44,43,1,0,0,1,0,0,0,0,62,0,0
6,1647,1186,1615,2481,1205,1579,9713,0,0,0,0,0,0,0,642,300,82,505,203,47,44,46,5,46,39,4,0,0,1,0,0,0,0,62,0,0
7,1696,1155,1635,2412,1258,1515,9671,0,0,0,0,0,0,0,661,281,91,431,178,29,81,72,4,34,41,2,0,0,1,0,0,0,0,62,0,0
8,1697,1170,1728,2489,1220,1608,9912,0,0,0,0,0,0,0,665,292,88,507,188,30,61,51,5,62,35,2,0,0,1,0,0,0,0,62,0,0
9,1692,1259,1658,2442,1282,1556,9889,0,0,0,0,0,0,0,728,299,78,490,209,24,70,65,1,52,53,0,0,0,1,0,0,0,0,62,0,0
10,1698,1195,1553,2427,1229,1636,9738,0,0,0,0,0,0,0,654,272,93,499,201,35,60,50,3,57,40,2,0,0,1,0,0,0,0,62,0,0
11,1771,1089,1604,2447,1305,1562,9778,0,0,0,0,0,0,0,728,226,90,506,215,29,61,44,6,55,44,0,0,0,1,0,0,0,0,62,0,0
12,1704,1121,1650,2462,1233,1552,9722,0,0,0,0,0,0,0,673,267,79,457,191,27,72,58,4,56,32,0,0,0,1,0,0,0,0,62,0,0
13,1707,1166,1683,2496,1232,1556,9840,0,0,0,0,0,0,0,717,276,94,515,180,30,58,58,6,65,32,1,0,0,1,0,0,0,0,62,0,0
14,1698,1207,1635,2463,1236,1603,9842,0,0,0,0,0,0,0,712,314,74,480,200,45,84,63,4,46,41,2,0,0,1,0,0,0,0,62,0,0
15,1688,1158,1655,2434,1263,1589,9787,0,0,0,0,0,0,0,679,282,79,485,170,31,75,51,0,41,40,2,0,0,1,0,0,0,0,62,0,0
1,1643,1137,1598,2355,1213,1505,9451,0,0,1,0,1,0,2,675,269,84,472,170,27,62,56,9,58,41,2,0,0,0,0,1,0,1,63,0,0
2,1602,1163,1561,2366,1201,1499,9392,1,0,0,2,0,0,3,650,282,77,483,171,17,60,57,4,44,33,1,1,0,0,0,2,2,3,63,0,0
3,1636,1129,1599,2388,1183,1517,9452,1,0,2,1,2,0,6,639,262,83,472,200,34,56,55,3,52,32,0,1,0,0,0,3,3.2,7,63,0,0
4,1677,1119,1533,2359,1209,1548,9445,3,1,0,3,1,3,11,685,261,76,496,180,28,79,57,1,52,32,3,3,0,0,0,5,3.2,18,63,0,0
5,1641,1116,1601,2341,1236,1501,9436,7,0,1,4,1,0,13,632,268,81,501,200,31,66,53,3,46,26,1,2,0,0,0,8,3.6,32,63,0,0
6,1646,1159,1594,2386,1189,1491,9465,9,4,4,7,1,4,29,669,304,86,455,184,38,64,60,4,52,41,1,10,0,0,0,12,10.8,59,63,0,0
7,1634,1161,1581,2414,1184,1540,9514,28,5,0,8,1,5,47,697,297,83,464,162,34,80,64,3,38,40,3,19,3,1,0.013,21,10.8,102,63,0,0
8,1618,1153,1586,2412,1222,1592,9583,50,0,2,12,7,9,80,651,287,61,531,179,25,48,59,3,36,38,2,19,2,1,0.011,31,10.8,168,63,0,0
9,1649,1150,1566,2366,1302,1497,9530,66,4,5,28,19,13,135,681,313,76,490,191,39,55,68,3,49,36,3,29,4,1,0.019,39,10.8,289,63,0,0
10,1600,1116,1609,2467,1189,1565,9546,71,3,16,57,11,23,181,670,248,86,493,175,21,75,47,4,60,36,0,44,3,1,0.014,48,11.2,462,63,0,0
11,1598,1143,1600,2439,1285,1581,9646,88,14,20,82,24,28,256,638,299,93,499,212,23,47,60,1,50,42,1,62,5,1,0.025,64,11.7,715,63,0,0
12,1598,1147,1611,2427,1282,1582,9647,107,13,24,109,34,37,324,609,289,69,475,167,38,62,53,2,48,33,2,70,3,1,0.015,79,14.1,1031,63,0,0
13,1594,1126,1639,2481,1239,1611,9690,119,28,41,145,42,47,422,634,268,74,459,191,47,59,52,5,36,36,2,100,12,1,0.063,100,17,1432,63,0,0
14,1577,1172,1693,2475,1279,1566,9762,160,57,51,199,58,77,602,661,292,78,497,201,30,63,58,6,56,33,2,146,12,1,0.055,135,17.1,2012,63,0,0
15,1569,1217,1550,2410,1220,1537,9503,210,80,78,257,80,103,808,639,312,75,450,185,34,63,64,1,42,37,3,175,23,1,0.11,181,20.6,2790,63,0,0
1,1647,1116,1656,2364,1206,1524,9513,0,1,0,0,0,0,1,669,273,78,486,172,35,60,63,7,45,40,2,0,0,0,0,1,0,0,64,0,0
2,1630,1136,1527,2413,1221,1472,9399,4,0,0,1,0,0,5,686,273,68,493,194,46,67,54,3,32,39,2,1,0,0,0,1,2.8,5,64,0,0
3,1615,1108,1595,2383,1179,1536,9416,8,0,2,2,1,0,13,612,292,83,487,190,29,67,59,5,49,37,1,4,2,1,0.009,3,2.8,14,64,0,0
4,1611,1134,1522,2371,1222,1495,9355,6,0,1,5,1,6,19,631,297,81,423,181,30,63,52,7,41,33,2,7,2,1,0.01,3,3,31,64,0,0
